benchmark,result,holes,solve,check
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/20190906-CLEARSY/0009/00087.smt2.stdout,unsat,,24,34
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/20190906-CLEARSY/0009/00082.smt2.stdout,unsat,,24,37
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/20190906-CLEARSY/0015/00370.smt2.stdout,unsat,,20,32
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/20190906-CLEARSY/0001/00257.smt2.stdout,unsat,,419,13219
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/20190906-CLEARSY/0001/00145.smt2.stdout,unsat,,402,13675
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/20190906-CLEARSY/0001/00256.smt2.stdout,unsat,,432,12942
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/20190906-CLEARSY/0018/00091.smt2.stdout,unsat,,54,45
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/20190906-CLEARSY/0016/00776.smt2.stdout,unsat,,36,45
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/20190906-CLEARSY/0016/00767.smt2.stdout,unsat,,34,43
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/20190906-CLEARSY/0016/00980.smt2.stdout,unsat,,20,32
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/20190906-CLEARSY/0016/00977.smt2.stdout,unsat,,19,33
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/20190906-CLEARSY/0016/00779.smt2.stdout,unsat,,96,44
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/20190906-CLEARSY/0016/00771.smt2.stdout,unsat,,41,50
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/20190906-CLEARSY/0016/00769.smt2.stdout,unsat,,37,45
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/20190906-CLEARSY/0016/00778.smt2.stdout,unsat,,41,47
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/20190906-CLEARSY/0023/00481.smt2.stdout,,1,200,2541
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dispose_loop_check_free_19_4.smt2.stdout,unsat,,23,33
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/filter_loop_check_heap_access_27_8_1.smt2.stdout,unsat,,37,36
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/remove_invariant_18_4.smt2.stdout,unsat,,29,40
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_filter_check_heap_access_19_4.smt2.stdout,unsat,,108,44
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_remove_postcondition_of_dl_remove_19_4.smt2.stdout,unsat,,48,50
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_traverse_precondition_of_rec_traverse_16_4.smt2.stdout,unsat,,27,37
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_reverse_precondition_of_rec_reverse_loop_29_9.smt2.stdout,unsat,,26,37
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_insert_check_heap_access_31_4.smt2.stdout,unsat,,89,42
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_remove_invariant_27_4.smt2.stdout,unsat,,7362,350
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/find_postcondition_of_find_24_1.smt2.stdout,unsat,,1063,68
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_filter_postcondition_of_rec_filter_24_4.smt2.stdout,unsat,,7106,728
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_insert_postcondition_of_rec_insert_25_6.smt2.stdout,unsat,,823,96
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/copy_postcondition_of_copy_25_2.smt2.stdout,unsat,,136,55
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/concat_loop_check_heap_access_21_6.smt2.stdout,unsat,,28,34
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_copy_precondition_of_rec_copy_loop_53_9.smt2.stdout,unsat,,27,36
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/insert_loop_invariant_24_5.smt2.stdout,unsat,,6358,1563
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/find_last_postcondition_of_find_last_18_4.smt2.stdout,unsat,,178,78
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_reverse_loop_check_heap_access_25_4.smt2.stdout,unsat,,38,37
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/filter_loop_check_heap_access_27_8.smt2.stdout,unsat,,28,35
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/remove_loop_check_heap_access_24_6.smt2.stdout,unsat,,28,34
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/concat_postcondition_of_concat_14_4.smt2.stdout,unsat,,36,42
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_reverse_loop_postcondition_of_rec_reverse_loop_15_4.smt2.stdout,unsat,,34,42
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_remove_check_free_19_4.smt2.stdout,unsat,,23,33
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/reverse_invariant_16_2.smt2.stdout,unsat,,29,39
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_traverse_loop_invariant_23_3.smt2.stdout,unsat,,361,289
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_insert_check_heap_access_24_6.smt2.stdout,unsat,,122,42
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/filter_postcondition_of_filter_36_1.smt2.stdout,unsat,,495,112
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/create_check_heap_access_49_4.smt2.stdout,unsat,,18,33
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_remove_check_heap_access_45_6.smt2.stdout,unsat,,289,59
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/insert_postcondition_of_insert_27_4.smt2.stdout,unsat,,6351,469
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_concat_precondition_of_find_last_29_7.smt2.stdout,unsat,,18,31
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_reverse_loop_precondition_of_rec_reverse_loop_21_11.smt2.stdout,unsat,,136,64
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/find_last_postcondition_of_find_last_20_4.smt2.stdout,unsat,,60,49
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_remove_postcondition_of_dl_remove_16_4.smt2.stdout,unsat,,34,43
